,words,count
0,nebraska,537
1,team,374
2,game,334
3,good,247
4,fields,203
5,first,187
6,like,165
7,go,160
8,best,155
9,half,150
10,football,149
11,year,146
12,touchdown,140
13,ohiostatefb,131
14,play,128
15,get,127
16,#ohiostate,122
17,tonight,121
18,defense,118
19,yard,109
20,better,108
21,right,104
22,justin,102
23,let,101
24,would,98
