,words,count
0,game,270
1,nebraska,255
2,team,143
3,get,129
4,go,122
5,like,121
6,good,117
7,play,109
8,fans,108
9,tonight,104
10,still,98
11,first,93
12,right,92
13,time,90
14,going,89
15,one,89
16,football,87
17,martinez,84
18,big,84
19,half,84
20,let,76
21,frost,73
22,well,72
23,fan,72
24,year,62
